Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.32379137887312,1.4576878240806572,1.2073474330451268
10,-13.552637452573157,117.46810692595925,10.838270476693191
20,-13.518308567736973,212.49076336468588,14.577062919692906
30,-13.619641147094178,303.04321014724184,17.408136320331415
40,-14.115181370671408,393.02320109837115,19.824812763261377
50,-14.655169848080565,483.0208420043729,21.97773514273873
60,-14.849312193778536,572.8870292014882,23.93505857944551
70,-15.642865439147144,664.0014614400353,25.76822581087094
80,-16.012909198696363,751.7665701032646,27.418361915024477
90,-16.968945579639563,837.3394268689827,28.936817842827548
100,-17.71575396460006,924.5683309947249,30.406715228625483
