n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.453288071359442,0.002071452601577084,0.045513213483307065
10,119.55065573855819,334.11817853026145,18.278899817282806
20,211.3402178188437,142.83049504355137,11.9511712833325
30,303.51515835631,184.20783392452196,13.572318664271112
40,395.5501034589402,166.01977303527585,12.884866046462255
50,484.524263780744,296.79205313683303,17.227653732787672
60,577.419351917932,518.6314640439306,22.773481596890946
70,662.5193281067352,1257.7836555219712,35.465245741739494
80,752.4115276863287,679.9934339699201,26.076683722627003
90,841.7260346753326,445.00642660314213,21.095175434282176
100,928.542090887551,410.68784634060114,20.265434768111962
